pixel_x,time_seconds,magnitude,magnitude_smooth
560,167.4268395031122,-2.314875122722157,-1.899655180670961
561,168.1395967917286,-2.1591676444529586,-2.03806182802136
562,168.85235408034504,-1.899655180670961,-2.03806182802136
563,169.56511136896142,-1.891004765211561,-1.899655180670961
564,170.2778686575778,-2.03806182802136,-1.891004765211561
565,170.99062594619426,-1.7093460405641627,-1.7093460405641627
566,171.70338323481064,-1.3546790067287657,-1.674744378726563
567,172.41614052342703,-1.5795898086731637,-1.674744378726563
568,173.12889781204348,-1.6314923014295633,-1.6314923014295633
569,173.84165510065986,-1.674744378726563,-1.5795898086731637
570,174.5544123892763,-1.6833947941859628,-1.6314923014295633
571,175.2671696778927,-1.2768252675941665,-1.674744378726563
572,175.97992696650908,-1.5795898086731637,-1.674744378726563
573,176.69268425512553,-1.7006956251047627,-1.657443547807763
574,177.40544154374192,-1.9256064270491606,-1.5795898086731637
575,178.1181988323583,-1.657443547807763,-1.5795898086731637
576,178.83095612097475,-1.2422236057565668,-1.2422236057565668
577,179.54371340959113,-0.9827111419745691,-1.2422236057565668
578,180.25647069820752,-1.121117789324968,-1.2422236057565668
579,180.96922798682397,-0.9740607265151691,-1.2422236057565668
580,181.68198527544035,-1.441183161322765,-1.441183161322765
581,182.39474256405674,-1.6920452096453626,-1.441183161322765
582,183.1074998526732,-1.7093460405641627,-1.441183161322765
583,183.82025714128957,-1.674744378726563,-1.441183161322765
584,184.53301442990596,-1.1989715284595672,-1.207621943918967
585,185.2457717185224,-1.207621943918967,-1.1989715284595672
586,185.9585290071388,-1.0519144656497683,-1.1989715284595672
587,186.67128629575524,-0.8529549100835703,-1.0519144656497683
588,187.38404358437163,-0.9654103110557695,-0.9654103110557695
589,188.096800872988,-1.6228418859701632,-0.8529549100835703
590,188.80955816160446,-0.7578003400301707,-0.8529549100835703
591,189.52231545022084,-0.6885970163549717,-0.9654103110557695
592,190.23507273883723,-0.7058978472737714,-1.1903211130001672
593,190.94783002745368,-1.1903211130001672,-1.1903211130001672
594,191.66058731607006,-1.5017360695385644,-1.2595244366753664
595,192.37334460468645,-1.4930856540791644,-1.2595244366753664
596,193.0861018933029,-1.2941260985129661,-1.2595244366753664
597,193.79885918191928,-1.2595244366753664,-1.2595244366753664
598,194.51161647053567,-0.8183532482459706,-1.2595244366753664
599,195.22437375915212,0.10724120590982089,-0.9394590646775693
600,195.9371310477685,-1.2595244366753664,-0.8962069873805696
601,196.6498883363849,-0.9394590646775693,-0.8962069873805696
602,197.36264562500133,-0.8962069873805696,-0.9221582337587697
603,198.07540291361772,-0.8789061564617704,-0.9394590646775693
